ts_event,long_symbols,short_symbols,strike,expiry,pred_spread,realized_spread,edge_1m,edge_15m,edge_60m,correct,n_universe
2025-06-13 15:54:00+00:00,QBTS,QUBT,,1970-01-01,0.19538888335227966,0.01738613271602014,,,,1,21
2025-06-13 15:55:00+00:00,QBTS,QUBT,,1970-01-01,0.34530603885650635,-0.004306491657427178,,,,0,26
2025-06-13 15:56:00+00:00,QBTS,IONQ,,1970-01-01,0.3903278112411499,-0.01985715356741295,,,,0,16
2025-06-13 15:57:00+00:00,IONQ,QUBT,,1970-01-01,0.2510184943675995,0.004978669945211196,,,,1,23
2025-06-13 15:58:00+00:00,RGTI,QUBT,,1970-01-01,2.052138566970825,0.045705828664957156,0.20047362748251696,,,1,21
2025-06-13 15:59:00+00:00,IONQ,QUBT,,1970-01-01,1.41938316822052,0.0027730886118300484,,,,1,17
2025-06-13 16:00:00+00:00,IONQ,QUBT,,1970-01-01,0.5502148270606995,-0.009710004571494258,,,,0,28
2025-06-13 16:01:00+00:00,QBTS,QUBT,,1970-01-01,0.25683215260505676,0.0670154921238836,,,,1,25
2025-06-13 16:02:00+00:00,QUBT,QBTS,,1970-01-01,2.9827754497528076,-2.7703717076974166,,,,0,25
2025-06-13 16:03:00+00:00,QBTS,QUBT,,1970-01-01,0.16197314858436584,-2.80234979545807,,,,0,22
2025-06-13 16:04:00+00:00,QBTS,QUBT,,1970-01-01,0.47368210554122925,-0.012045066075175762,,,,0,26
2025-06-13 16:05:00+00:00,QBTS,RGTI,,1970-01-01,0.2327529788017273,-0.004216607110957041,,,,0,20
2025-06-13 16:06:00+00:00,QBTS,QUBT,,1970-01-01,0.1659388542175293,-0.013553744831620243,,,,0,22
2025-06-13 16:07:00+00:00,QUBT,IONQ,,1970-01-01,0.04229024797677994,-0.044159573007193184,,,,0,20
2025-06-13 16:08:00+00:00,QBTS,IONQ,,1970-01-01,0.12407451868057251,-0.007388213266555957,,,,0,22
2025-06-13 16:09:00+00:00,QBTS,QUBT,,1970-01-01,0.17323127388954163,0.023811318239339668,,,,1,21
2025-06-13 16:10:00+00:00,RGTI,QUBT,,1970-01-01,0.16502384841442108,-0.007268688017376934,,,,0,17
2025-06-13 16:11:00+00:00,IONQ,QUBT,,1970-01-01,0.15617945790290833,0.06447861379618539,,,,1,22
2025-06-13 16:12:00+00:00,QBTS,QUBT,,1970-01-01,0.9617228507995605,-0.14072250233959688,,,,0,21
2025-06-13 16:13:00+00:00,QBTS,QUBT,,1970-01-01,0.2919961214065552,0.034845384835916676,,,,1,23
2025-06-13 16:14:00+00:00,QBTS,QUBT,,1970-01-01,0.2023104429244995,0.028492221796857974,,,,1,24
2025-06-13 16:15:00+00:00,QBTS,QUBT,,1970-01-01,0.36495429277420044,-0.07711844570747231,,,,0,24
2025-06-13 16:16:00+00:00,QBTS,QUBT,,1970-01-01,0.22404445707798004,-0.021998680657798846,,,,0,22
2025-06-13 16:17:00+00:00,QBTS,QUBT,,1970-01-01,0.27830570936203003,0.06450285322198832,,,,1,25
2025-06-13 16:18:00+00:00,QBTS,QUBT,,1970-01-01,0.282468318939209,-0.03447903399902933,,,,0,21
2025-06-13 16:19:00+00:00,QBTS,QUBT,,1970-01-01,0.20424595475196838,-0.0061991307631215535,,,,0,25
2025-06-13 16:20:00+00:00,QBTS,QUBT,,1970-01-01,0.34078627824783325,0.006163120884844043,,,,1,23
2025-06-13 16:21:00+00:00,QBTS,QUBT,,1970-01-01,0.2864108085632324,-0.012621530000392397,,,,0,24
2025-06-13 16:22:00+00:00,QBTS,QUBT,,1970-01-01,0.18082661926746368,-0.015961129875895774,,,,0,25
2025-06-13 16:23:00+00:00,QBTS,QUBT,,1970-01-01,0.48821181058883667,-0.004870694138818579,,,,0,26
2025-06-13 16:24:00+00:00,QUBT,RGTI,,1970-01-01,2.260097026824951,-0.045990970700538834,,,,0,23
2025-06-13 16:25:00+00:00,QBTS,QUBT,,1970-01-01,0.3121139705181122,-0.009907474280038625,,,,0,27
